economy,economy_code,pillar_i_overall,pillar_ii_overall,pillar_iii_overall,category_2_2_overall,topic
North Macedonia,MKD,71.79,53.39,58.1,19.73,dispute_resolution
Pakistan,PAK,58.02,26.64,41.32,10.9,dispute_resolution
Paraguay,PRY,84.65,56.23,45.95,24.03,dispute_resolution
Peru,PER,68.64,61.23,39.97,21.95,dispute_resolution
Philippines,PHL,80.57,62.39,45.68,21.39,dispute_resolution
Portugal,PRT,89.96,65.16,62.1,21.05,dispute_resolution
Romania,ROM,75.93,60.22,87.12,20.28,dispute_resolution
Rwanda,RWA,79.77,74.19,94.63,20.28,dispute_resolution
Samoa,WSM,48.09,37.7,57.67,11.11,dispute_resolution
Seychelles,SYC,48.45,13.49,51.58,1.67,dispute_resolution
Sierra Leone,SLE,60.56,21.03,45.18,0,dispute_resolution
Singapore,SGP,62.99,63.17,87.07,26.53,dispute_resolution
Slovak Republic,SVK,79.41,75.24,80.28,22.23,dispute_resolution
Tanzania,TZA,71.53,35.98,82.88,4.17,dispute_resolution
Timor-Leste,TMP,60.35,7.8,41.25,0,dispute_resolution
Togo,TGO,94.59,53.58,60.27,11.95,dispute_resolution
Vanuatu,VUT,47.3,30.63,51.2,0,dispute_resolution
Viet Nam,VNM,79.87,42.65,70.18,20.28,dispute_resolution
West Bank and Gaza,WBG,52.79,35.16,21.58,8.34,dispute_resolution
Bangladesh,BGD,74.22,48.19,61.93,23.75,financial_services
Barbados,BRB,64.94,30.28,88.9,1.67,financial_services
Bosnia and Herzegovina,BIH,57.98,20.56,90.7,1.67,financial_services
Botswana,BWA,81.62,46.11,80.17,12.5,financial_services
Bulgaria,BGR,77.24,41.11,87.33,14.17,financial_services
Cambodia,KHM,81.87,83.61,92.6,48.33,financial_services
Central African Republic,CAF,77.85,8.33,15.77,0,financial_services
Chad,TCD,76.32,36.25,20.2,27.92,financial_services
Colombia,COL,79.14,52.78,93.67,18.33,financial_services
Costa Rica,CRI,76.76,53.33,68.33,14.17,financial_services
Côte dIvoire,CIV,53.51,42.78,30.27,10,financial_services
Croatia,HRV,73.92,37.78,78.13,13.33,financial_services
El Salvador,SLV,70.15,85.28,57.53,45,financial_services
Estonia,EST,70.78,23.06,90.8,1.67,financial_services
"Gambia, The",GMB,56.4,15.83,54.37,14.17,financial_services
Georgia,GEO,76.39,50.28,98.23,18.33,financial_services
Ghana,GHA,75.14,44.44,60,18.33,financial_services
Greece,GRC,65.28,41.11,69.5,10,financial_services
"Hong Kong SAR, China",HKG,80.28,51.67,77.93,14.17,financial_services
Hungary,HUN,99.44,61.94,80.7,35,financial_services
Indonesia,IDN,69.37,40.28,59.87,1.67,financial_services
Iraq,IRQ,69.31,32.22,30.63,8.33,financial_services
Kyrgyz Republic,KGZ,70.76,54.44,86.67,22.5,financial_services
Lesotho,LSO,60.94,41.11,60.83,12.5,financial_services
Madagascar,MDG,47.85,48.33,55.8,10,financial_services
Mauritius,MUS,78.13,42.78,59.6,10,financial_services
Mexico,MEX,88.99,83.06,80.87,50,financial_services
Montenegro,MNE,63.75,50.83,74.9,18.33,financial_services
Morocco,MAR,73.74,68.33,45.9,29.17,financial_services
Nepal,NPL,84.61,77.36,49.77,47.92,financial_services
New Zealand,NZL,77.47,80.83,96.8,45.83,financial_services
North Macedonia,MKD,73.72,49.44,97.1,14.17,financial_services
Pakistan,PAK,83.26,61.11,59.53,29.17,financial_services
Paraguay,PRY,59.87,47.78,84.03,14.17,financial_services
Peru,PER,83.72,62.5,89,18.33,financial_services
Philippines,PHL,77.89,41.94,62.27,1.67,financial_services
Portugal,PRT,72.31,48.89,92.17,21.67,financial_services
Romania,ROM,88.89,59.17,72.2,18.33,financial_services
Rwanda,RWA,86.56,47.22,74.07,14.17,financial_services
Samoa,WSM,72.53,13.33,70.4,12.5,financial_services
Seychelles,SYC,74.21,33.06,60.93,14.17,financial_services
Sierra Leone,SLE,68.54,20,36.17,18.33,financial_services
Singapore,SGP,74.1,52.22,93.67,29.17,financial_services
Slovak Republic,SVK,69.35,51.11,76.13,18.33,financial_services
Tanzania,TZA,76.53,45.28,50.03,8.33,financial_services
Timor-Leste,TMP,30.2,5.83,38.43,4.17,financial_services
Togo,TGO,61.49,49.03,50.4,16.25,financial_services
Vanuatu,VUT,54.93,28.89,39.9,18.33,financial_services
Viet Nam,VNM,41.4,39.17,90.93,0,financial_services
West Bank and Gaza,WBG,58.96,33.61,41.23,4.17,financial_services
Bangladesh,BGD,51.56,29.52,80.5,9.88,international_trade
Barbados,BRB,63.59,33.39,75.65,17.5,international_trade
Bosnia and Herzegovina,BIH,73.97,41.53,90.45,24.29,international_trade
Botswana,BWA,74.77,53.85,76.15,37.56,international_trade
Bulgaria,BGR,86.37,52,89.1,35.65,international_trade
Cambodia,KHM,61.02,56.01,56,21.43,international_trade
Central African Republic,CAF,55.74,20.12,28.6,14.29,international_trade
